symbol,value
ƒ,0
Ÿ,1
”,2
‚,3
‹,4
Ÿ,5
Š,6
‡,7
ƒ,8
˜,9
Œ,10
Ÿ,11
†,12
ˆ,13
“,14
‡,15
–,16
Ž,17
›,18
˜,19
‰,20
›,21
…,22
•,23
†,24
‚,25
•,26
’,27
‰,28
‰,29
š,30
‘,31
•,32
‘,33
›,34
‹,35
‹,36
”,37
™,38
†,39
“,40
‡,41
ˆ,42
’,43
Ž,44
Œ,45
†,46
ž,47
™,48
‡,49
“,50
–,51
œ,52
–,53
†,54
’,55
†,56
’,57
›,58
‡,59
–,60
€,61
Ÿ,62
ž,63
ƒ,64
Š,65
˜,66
š,67
…,68
Š,69
ž,70
ˆ,71
š,72
’,73
•,74
’,75
ž,76
•,77
•,78
‹,79
”,80
‡,81
˜,82
’,83
ˆ,84
€,85
’,86
š,87
™,88
—,89
‡,90
€,91
“,92
ƒ,93
ˆ,94
€,95
ž,96
‹,97
ˆ,98
”,99
•,100
Œ,101
“,102
•,103
ˆ,104
›,105
›,106
“,107
œ,108
†,109
ƒ,110
†,111
ˆ,112
…,113
—,114
—,115
‚,116
•,117
‡,118
–,119
–,120
ƒ,121
‹,122
–,123
€,124
˜,125
Ÿ,126
›,127
š,128
ƒ,129
˜,130
ˆ,131
‡,132
œ,133
Š,134
‰,135
“,136
–,137
ž,138
‡,139
—,140
ž,141
…,142
™,143
†,144
‰,145
‘,146
„,147
–,148
„,149
Š,150
™,151
‡,152
€,153
›,154
Ž,155
€,156
”,157
“,158
•,159
›,160
€,161
œ,162
ž,163
…,164
ž,165
Ÿ,166
Š,167
‚,168
”,169
„,170
…,171
–,172
š,173
Ž,174
›,175
’,176
™,177
„,178
œ,179
˜,180
—,181
Ÿ,182
“,183
—,184
•,185
—,186
‡,187
‰,188
Š,189
…,190
“,191
˜,192
„,193
™,194
”,195
„,196
Š,197
€,198
‡,199
œ,200
‡,201
†,202
—,203
•,204
Ÿ,205
”,206
ƒ,207
”,208
ž,209
–,210
›,211
‚,212
Œ,213
›,214
Š,215
—,216
‡,217
…,218
„,219
•,220
„,221
“,222
€,223
’,224
›,225
€,226
—,227
‚,228
—,229
‘,230
ƒ,231
‰,232
ƒ,233
„,234
Ÿ,235
™,236
…,237
…,238
”,239
˜,240
•,241
†,242
˜,243
™,244
š,245
œ,246
›,247
Ž,248
–,249
†,250
ž,251
‰,252
Ÿ,253
Œ,254
˜,255
‹,256
œ,257
ž,258
”,259
ž,260
Ž,261
™,262
‚,263
„,264
‰,265
š,266
’,267
–,268
€,269
Œ,270
›,271
ƒ,272
…,273
š,274
“,275
“,276
—,277
—,278
ˆ,279
ˆ,280
›,281
ƒ,282
™,283
’,284
›,285
‘,286
†,287
“,288
„,289
ž,290
‘,291
ˆ,292
”,293
€,294
ˆ,295
‡,296
‘,297
Ÿ,298
›,299
ƒ,300
“,301
†,302
€,303
œ,304
—,305
…,306
˜,307
’,308
‘,309
•,310
…,311
–,312
†,313
š,314
”,315
€,316
ƒ,317
Œ,318
‹,319
›,320
ž,321
†,322
š,323
“,324
‘,325
ƒ,326
š,327
•,328
”,329
ƒ,330
ž,331
‚,332
™,333
ž,334
“,335
Ÿ,336
’,337
˜,338
„,339
Ž,340
Œ,341
Œ,342
”,343
†,344
Ÿ,345
‹,346
…,347
•,348
’,349
œ,350
Ÿ,351
”,352
™,353
›,354
š,355
‚,356
„,357
“,358
ž,359
ž,360
™,361
…,362
™,363
Œ,364
Š,365
‘,366
œ,367
Ÿ,368
ƒ,369
Š,370
‚,371
‹,372
•,373
•,374
…,375
‹,376
“,377
‘,378
‹,379
’,380
‡,381
œ,382
Š,383
‰,384
‚,385
ƒ,386
ƒ,387
†,388
Œ,389
Ž,390
œ,391
ƒ,392
˜,393
›,394
…,395
‚,396
›,397
‡,398
œ,399
œ,400
”,401
‚,402
’,403
Ÿ,404
Ÿ,405
–,406
Ž,407
€,408
„,409
…,410
•,411
‰,412
‘,413
‘,414
”,415
Ž,416
œ,417
ž,418
”,419
›,420
‘,421
‚,422
„,423
†,424
”,425
—,426
ž,427
“,428
”,429
…,430
ž,431
Ÿ,432
‘,433
•,434
Ÿ,435
•,436
š,437
Ž,438
ƒ,439
–,440
‡,441
’,442
—,443
Š,444
—,445
œ,446
‘,447
†,448
Œ,449
†,450
‘,451
Ž,452
ž,453
€,454
‡,455
š,456
—,457
œ,458
”,459
Œ,460
›,461
Ÿ,462
†,463
‰,464
‚,465
‹,466
œ,467
–,468
‘,469
ž,470
ƒ,471
—,472
Ÿ,473
‚,474
Ÿ,475
‹,476
ˆ,477
–,478
…,479
“,480
„,481
‹,482
–,483
—,484
‹,485
Ÿ,486
‹,487
›,488
–,489
›,490
ƒ,491
†,492
ž,493
•,494
›,495
ž,496
‘,497
•,498
Œ,499
